gempermid,holddate,shareshldadj,shareshld,pctshouthld,shshldchg,comname,name,activity,close_
21626518471,2018-06-06T00:00:00Z,524100,524100,10.8214,52e3,Knowledgesuite Ord Shs,Tower Investment Management,buy,1793
8589935990,2005-08-31T00:00:00Z,67400,337e3,6.65,337e3,Mikikogyo Ord Shs,Tower Investment Management,buy,3665
8589936329,2006-06-30T00:00:00Z,584200,292100,5.42,292100,Ajis Ord Shs,Tower Investment Management,buy,1265
8589936329,2008-02-29T00:00:00Z,464800,232400,4.32,-59700,Ajis Ord Shs,Tower Investment Management,sell,1487.5
8589936364,2005-10-20T00:00:00Z,2673e3,2673e3,5.17,2673e3,Daiwa Industries Ord Shs,Dalton Investments,buy,678
8589936364,2005-11-30T00:00:00Z,2673e3,2673e3,5.17,0,Daiwa Industries Ord Shs,Dalton Investments,hold,811
8589936364,2006-02-28T00:00:00Z,1017e3,1017e3,1.97,-1656e3,Daiwa Industries Ord Shs,Dalton Investments,sell,915
8589938136,2008-09-30T00:00:00Z,1101e3,1101e3,5.04,-222e3,Daiichi Kensetsu Ord Shs,Tower Investment Management,sell,700
8589938136,2008-10-15T00:00:00Z,78e3,78e3,0.36,-1023e3,Daiichi Kensetsu Ord Shs,Tower Investment Management,sell,NA
8589938475,2007-10-15T00:00:00Z,738900,738900,5.83,738900,Meiho Facility Works Ord Shs,Tower Investment Management,buy,177
8589938475,2009-07-15T00:00:00Z,880100,880100,6.92,141200,Meiho Facility Works Ord Shs,Tower Investment Management,buy,107
8589938475,2010-06-15T00:00:00Z,1760200,1760200,13.84,0,Meiho Facility Works Ord Shs,Tower Investment Management,hold,97
8589938475,2013-01-15T00:00:00Z,1162600,1162600,9.14,-597600,Meiho Facility Works Ord Shs,Tower Investment Management,sell,161
8589940528,2007-11-13T00:00:00Z,218200,2182e3,6.3,2182e3,Tokyo Kaikan Ord Shs,Taiyo Fund Management,buy,5370
8589940528,2007-11-16T00:00:00Z,263400,2634e3,7.6,452e3,Tokyo Kaikan Ord Shs,Taiyo Fund Management,buy,5550
8589940528,2007-11-26T00:00:00Z,333200,3332e3,9.62,698e3,Tokyo Kaikan Ord Shs,Taiyo Fund Management,buy,6e3
8589940528,2008-03-07T00:00:00Z,339400,3394e3,9.8,62e3,Tokyo Kaikan Ord Shs,Taiyo Fund Management,buy,5410
8589940528,2008-12-15T00:00:00Z,379400,3794e3,10.95,4e5,Tokyo Kaikan Ord Shs,Taiyo Fund Management,buy,2800
8589940528,2013-12-25T00:00:00Z,344100,3441e3,9.93,-353e3,Tokyo Kaikan Ord Shs,Taiyo Fund Management,sell,3210
8589940528,2014-02-14T00:00:00Z,300900,3009e3,8.69,-432e3,Tokyo Kaikan Ord Shs,Taiyo Fund Management,sell,3320
8589940528,2014-08-06T00:00:00Z,531600,5316e3,15.34,-702e3,Tokyo Kaikan Ord Shs,Taiyo Fund Management,sell,3020
8589940528,2015-01-07T00:00:00Z,230300,2303e3,6.65,-355e3,Tokyo Kaikan Ord Shs,Taiyo Fund Management,sell,3150
8589940528,2015-03-03T00:00:00Z,195600,1956e3,5.65,-347e3,Tokyo Kaikan Ord Shs,Taiyo Fund Management,sell,3090
8589940528,2015-03-11T00:00:00Z,160300,1603e3,4.63,-353e3,Tokyo Kaikan Ord Shs,Taiyo Fund Management,sell,3e3
8589940727,2005-06-30T00:00:00Z,1365e3,1365e3,7.8,1365e3,Alinco Ord Shs,Tower Investment Management,buy,591
8589940727,2005-09-30T00:00:00Z,1688e3,1688e3,9.64,323e3,Alinco Ord Shs,Tower Investment Management,buy,615
8589940900,2007-03-30T00:00:00Z,1761800,880900,5.47,880900,FJ Next Ord Shs,Tower Investment Management,buy,559.5
8589940900,2007-04-13T00:00:00Z,2088e3,1044e3,6.49,163100,FJ Next Ord Shs,Tower Investment Management,buy,568
8589940900,2007-05-15T00:00:00Z,2663e3,1331500,8.27,287500,FJ Next Ord Shs,Tower Investment Management,buy,554.5
8589940900,2007-06-29T00:00:00Z,3068800,1534400,9.53,202900,FJ Next Ord Shs,Tower Investment Management,buy,558
8589940900,2007-08-22T00:00:00Z,3401400,1700700,10.56,166300,FJ Next Ord Shs,Tower Investment Management,buy,456.5
8589940900,2007-09-18T00:00:00Z,3729600,1864800,11.58,164100,FJ Next Ord Shs,Tower Investment Management,buy,435.5
8589940900,2007-12-11T00:00:00Z,4049800,2024900,12.58,160100,FJ Next Ord Shs,Tower Investment Management,buy,385
8589940900,2008-09-18T00:00:00Z,3222400,1611200,10.01,-413700,FJ Next Ord Shs,Tower Investment Management,sell,176.5
8589940900,2008-12-12T00:00:00Z,2743600,1371800,8.52,-239400,FJ Next Ord Shs,Tower Investment Management,sell,105
8589940900,2009-05-15T00:00:00Z,2244e3,1122e3,6.97,-249800,FJ Next Ord Shs,Tower Investment Management,sell,126.5
8589940900,2010-06-15T00:00:00Z,4335600,2167800,13.46,-76200,FJ Next Ord Shs,Tower Investment Management,sell,174
